user_id,draft,acceptable_challenges,acceptable_target_categories,acceptable_mechanics,forbidden_categories,max_reward_rub,relevance_reason,abstain_is_correct,confirmed_by,corrected_challenge,notes
fcf18a73-184b-4ddd-9338-3dc666662e03,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.026) — доп. челлендж экономически не оправдан.",True,,,
e29473b0-c4b1-4d26-918a-2a3edf464515,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,молочные продукты и яйца; хлеб и выпечка; товары для дома; консервация; личная гигиена,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,436.25,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
dc680de0-78ad-41e8-8a90-eb1ba6603b06,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; хлеб и выпечка; бакалея,персональная скидка; достижение/бейдж,алкоголь; детское питание,56.83,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
7f7e70d8-178b-421b-80a3-d9cec8b73ad9,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,рыба и морепродукты; сладости и снеки; хлеб и выпечка; орехи и сухофрукты,кэшбек; бонусные баллы; купон,алкоголь; детское питание,758.58,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
d6d15731-fb31-4627-b51f-090a1e01be7b,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; бакалея; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,247.68,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
c8311f98-5476-4495-a1f7-5952ec026c56,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.032) — доп. челлендж экономически не оправдан.",True,,,
58f9091a-5e6a-4473-ac17-5b1bcda6e65b,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,бакалея; молочные продукты и яйца; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,281.98,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
42cc0ea1-a7cd-4157-87ab-02660cebe09f,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,фрукты; личная гигиена; масла и жиры; хлеб и выпечка; сладости и снеки,кэшбек; бонусные баллы; купон,алкоголь; детское питание,489.8,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
e4039782-67e5-43c9-ae73-35a01662e2ce,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.006) — доп. челлендж экономически не оправдан.",True,,,
c9f51e79-b5e1-4236-9d58-dbc84998a999,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
5d4fb5e2-c807-4d78-ac51-675e06be7099,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,товары для животных; заморозка; консервация,кэшбек; бонусные баллы; купон,алкоголь; детское питание,371.18,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
87ec70d8-0d38-495e-992d-f6c6414194a7,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,молочные продукты и яйца; заморозка; бакалея; фрукты,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,56.42,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
65f40d54-c757-4410-bb07-f3d761d9699b,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,бакалея; овощи; молочные продукты и яйца; товары для дома,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,370.54,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
4f23835c-0363-48bd-89ae-39704f13b86d,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,молочные продукты и яйца; бакалея; личная гигиена; соусы и приправы; консервация,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,236.13,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
ab870179-a80a-464d-9f0f-0133575d110d,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
7b46c9ce-c1a9-4388-b911-5be54c589997,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.01) — доп. челлендж экономически не оправдан.",True,,,
0ef123aa-6178-4a4a-b477-bb5ffee5d914,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,бакалея; хлеб и выпечка; молочные продукты и яйца,персональная скидка; достижение/бейдж,алкоголь; детское питание,56.58,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
4686fd9b-97a0-4271-af96-00667f7a2172,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,овощи; бакалея; кондитерка; орехи и сухофрукты; молочные продукты и яйца,кэшбек; бонусные баллы; купон,алкоголь; детское питание,53.95,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
5316f87f-7176-4d85-a832-8fdc926839a9,True,скидка на смешанную группу привычных категорий; промо-купон на одну из привычных категорий,соусы и приправы; бакалея; молочные продукты и яйца; сладости и снеки,персональная скидка; купон; бонусные баллы,алкоголь; детское питание,61.97,"Смешанный паттерн — несколько правдоподобных гипотез, широкий диапазон приемлемых ответов.",False,,,
1ad63d0b-c93d-49a8-9d9b-2ac5ce376f82,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
86d704d2-f310-4e05-b62b-b111cc1e50f8,True,скидка/бонус на бакалею и выпечку в выходные; напоминание докупить недостающий ингредиент для выпечки,молочные продукты и яйца; бакалея; хлеб и выпечка,персональная скидка; достижение/бейдж,алкоголь; детское питание,238.54,Регулярная выпечка по выходным — устойчивый паттерн в категориях бакалеи/хлеба/молочки.,False,,,
6b69c2db-a9e4-45cf-894b-de718ab4fc9a,True,кэшбэк/бонус за регулярные покупки по акции; персональный купон на привычную категорию,сладости и снеки; бакалея; мясо и птица; хлеб и выпечка; заморозка,кэшбек; бонусные баллы; купон,алкоголь; детское питание,41.55,Высокая доля покупок по акции — челлендж вокруг промо-механик релевантен.,False,,,
3cf1de8b-d996-43c4-bb7c-d3a2d09d64e1,True,,,,алкоголь; детское питание,0.0,Слабый/непоследовательный паттерн покупок — специфичный челлендж рискует быть нерелевантным.,True,,,
93d59af9-02d3-4f1a-b724-1b3039ada9f0,True,,,,алкоголь; детское питание,0.0,"Уже высокая частота покупок (baseline_visits_28d=40.0, frequency_headroom=0.049) — доп. челлендж экономически не оправдан.",True,,,
