user_id,chain,segment,family_size,habitual_categories,n_receipts_train,top_categories_train,weekend_share,promo_share,mean_receipt_total_rub,your_expected_challenge,your_expected_target_categories,notes
c9f51e79-b5e1-4236-9d58-dbc84998a999,Чижик,Молодёжь,3,фрукты; бакалея; молочные продукты и яйца; мясо и птица; напитки,37,фрукты (11); молочные продукты и яйца (10); бакалея (10); мясо и птица (7); напитки (7),0.189,0.253,446.9,,,
7f7e70d8-178b-421b-80a3-d9cec8b73ad9,Перекрёсток,Молодёжь,3,рыба и морепродукты; сладости и снеки; алкоголь; хлеб и выпечка; орехи и сухофрукты,27,рыба и морепродукты (15); сладости и снеки (14); алкоголь (11); хлеб и выпечка (8); орехи и сухофрукты (7),0.259,0.456,1366.77,,,
5d4fb5e2-c807-4d78-ac51-675e06be7099,Пятёрочка,Зрелые,1,товары для животных; детское питание; алкоголь; заморозка; консервация,51,товары для животных (23); детское питание (16); алкоголь (15); заморозка (14); консервация (12),0.294,0.431,913.24,,,
8cbf5995-17dd-4e22-a5bc-5079e0c2936a,Перекрёсток,Зрелые,3,молочные продукты и яйца; бытовая химия; бакалея; хлеб и выпечка; мясо и птица,46,молочные продукты и яйца (41); бытовая химия (31); бакалея (24); хлеб и выпечка (24); мясо и птица (8),0.565,0.223,894.22,,,
5f15103b-ab27-4449-9f4b-5fe29cf80430,Чижик,Зрелые,3,бакалея; молочные продукты и яйца; личная гигиена; масла и жиры; рыба и морепродукты,43,бакалея (35); молочные продукты и яйца (30); личная гигиена (23); масла и жиры (19); рыба и морепродукты (15),0.209,0.348,698.94,,,
25995851-9e3b-4283-a7ed-bcea35ada712,Пятёрочка,Взрослые с детьми до 3х лет,3,бакалея; заморозка; соусы и приправы; бытовая химия; сладости и снеки,88,бакалея (77); заморозка (69); соусы и приправы (66); бытовая химия (63); сладости и снеки (13),0.273,0.143,942.35,,,
f4290dac-4b65-4c04-8446-750d860faf24,Перекрёсток,Молодёжь,4,бытовая химия; консервация; бакалея; молочные продукты и яйца; овощи,31,бытовая химия (15); консервация (10); бакалея (9); молочные продукты и яйца (6); овощи (4),0.516,0.224,675.77,,,
87ec70d8-0d38-495e-992d-f6c6414194a7,Чижик,Взрослые с детьми до 3х лет,1,молочные продукты и яйца; заморозка; бакалея; алкоголь; фрукты,45,молочные продукты и яйца (36); заморозка (18); бакалея (13); алкоголь (10); фрукты (8),0.489,0.177,516.95,,,
d6d15731-fb31-4627-b51f-090a1e01be7b,Пятёрочка,Молодёжь,3,молочные продукты и яйца; бакалея; рыба и морепродукты; хлеб и выпечка; мясо и птица,27,молочные продукты и яйца (13); бакалея (11); рыба и морепродукты (10); хлеб и выпечка (9); напитки (2),0.556,0.207,506.1,,,
2cb8a690-ed7d-4fff-a6f5-6009677e4829,Чижик,Зрелые,1,молочные продукты и яйца; бакалея; напитки; хлеб и выпечка; овощи,59,молочные продукты и яйца (32); бакалея (29); напитки (27); хлеб и выпечка (26); овощи (7),0.576,0.256,357.56,,,
6b69c2db-a9e4-45cf-894b-de718ab4fc9a,Чижик,Взрослые с детьми до 3х лет,3,сладости и снеки; бакалея; мясо и птица; хлеб и выпечка; заморозка,62,сладости и снеки (36); бакалея (34); мясо и птица (31); хлеб и выпечка (24); заморозка (23),0.29,0.53,756.71,,,
